antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'50014815'}),frozenset({'50008168'}),0.28717948717948716,0.5367521367521367,0.10598290598290598,0.36904761904761907,0.6875568698817107,-0.04816129739206661,0.734204160619255
frozenset({'28'}),frozenset({'50008168'}),0.294017094017094,0.5367521367521367,0.10427350427350428,0.3546511627906977,0.6607354466005037,-0.05354079918182482,0.7178255178255178
frozenset({'50008168'}),frozenset({'50014815'}),0.5367521367521367,0.28717948717948716,0.10598290598290598,0.19745222929936307,0.6875568698817107,-0.04816129739206661,0.8881969881969882
frozenset({'50008168'}),frozenset({'28'}),0.5367521367521367,0.294017094017094,0.10427350427350428,0.1942675159235669,0.6607354466005037,-0.05354079918182482,0.8762001283740414
