antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'50008168'}),frozenset({'男'}),0.4110878661087866,0.5146443514644351,0.22594142259414227,0.549618320610687,1.0679575498045057,0.014377374345687255,1.0776540670874408
frozenset({'38'}),frozenset({'男'}),0.04811715481171548,0.5146443514644351,0.02510460251046025,0.5217391304347826,1.0137857900318135,0.00034138057807111405,1.0148345378470902
frozenset({'50022520'}),frozenset({'女'}),0.08054393305439331,0.4581589958158996,0.04184100418410042,0.5194805194805194,1.1338433256241474,0.0049390766968365404,1.1276150627615062
frozenset({'122650008'}),frozenset({'男'}),0.05439330543933055,0.5146443514644351,0.027196652719665274,0.5,0.9715447154471546,-0.0007965546821659258,0.9707112970711298
frozenset({'50014815'}),frozenset({'男'}),0.20292887029288703,0.5146443514644351,0.10146443514644352,0.5,0.9715447154471546,-0.002971761698849801,0.9707112970711298
frozenset({'122650008'}),frozenset({'女'}),0.05439330543933055,0.4581589958158996,0.02615062761506276,0.4807692307692307,1.0493501931858096,0.0012298454158715666,1.043545637687897
frozenset({'50022520'}),frozenset({'男'}),0.08054393305439331,0.5146443514644351,0.038702928870292884,0.48051948051948046,0.9336923239362264,-0.002748551320880234,0.9343096234309624
frozenset({'28'}),frozenset({'女'}),0.20292887029288703,0.4581589958158996,0.09623430962343096,0.4742268041237113,1.0350703761238995,0.0032606221879869085,1.0305603412913282
frozenset({'28'}),frozenset({'男'}),0.20292887029288703,0.5146443514644351,0.09623430962343096,0.4742268041237113,0.9214650909395692,-0.008201887221862353,0.9231274099597999
frozenset({'38'}),frozenset({'女'}),0.04811715481171548,0.4581589958158996,0.021966527196652718,0.45652173913043476,0.9964264443120905,-7.878013340102685e-05,0.9969874476987448
frozenset({'50014815'}),frozenset({'女'}),0.20292887029288703,0.4581589958158996,0.09100418410041841,0.4484536082474227,0.9788165513345572,-0.0019695033350256436,0.9824033159973409
frozenset({'50008168'}),frozenset({'女'}),0.4110878661087866,0.4581589958158996,0.1809623430962343,0.44020356234096686,0.9608096018218364,-0.007381260832268366,0.9679250665652337
frozenset({'男'}),frozenset({'50008168'}),0.5146443514644351,0.4110878661087866,0.22594142259414227,0.4390243902439025,1.0679575498045057,0.014377374345687255,1.0497998908495543
frozenset({'女'}),frozenset({'50008168'}),0.4581589958158996,0.4110878661087866,0.1809623430962343,0.39497716894977164,0.9608096018218364,-0.007381260832268366,0.973371753374911
frozenset({'未知'}),frozenset({'28'}),0.027196652719665274,0.20292887029288703,0.010460251046025104,0.3846153846153846,1.8953211736716888,0.0049412650338754565,1.2952405857740583
frozenset({'未知'}),frozenset({'50014815'}),0.027196652719665274,0.20292887029288703,0.010460251046025104,0.3846153846153846,1.8953211736716888,0.0049412650338754565,1.2952405857740583
frozenset({'女'}),frozenset({'28'}),0.4581589958158996,0.20292887029288703,0.09623430962343096,0.2100456621004566,1.0350703761238995,0.0032606221879869085,1.0090091179529348
frozenset({'女'}),frozenset({'50014815'}),0.4581589958158996,0.20292887029288703,0.09100418410041841,0.19863013698630136,0.9788165513345572,-0.0019695033350256436,0.994635768694346
frozenset({'男'}),frozenset({'50014815'}),0.5146443514644351,0.20292887029288703,0.10146443514644352,0.19715447154471546,0.9715447154471546,-0.002971761698849801,0.9928075843440495
frozenset({'男'}),frozenset({'28'}),0.5146443514644351,0.20292887029288703,0.09623430962343096,0.1869918699186992,0.9214650909395693,-0.008201887221862353,0.9803974895397489
frozenset({'女'}),frozenset({'50022520'}),0.4581589958158996,0.08054393305439331,0.04184100418410042,0.091324200913242,1.1338433256241474,0.0049390766968365404,1.011863711864763
frozenset({'男'}),frozenset({'50022520'}),0.5146443514644351,0.08054393305439331,0.038702928870292884,0.07520325203252033,0.9336923239362265,-0.002748551320880234,0.9942250218400845
frozenset({'女'}),frozenset({'122650008'}),0.4581589958158996,0.05439330543933055,0.02615062761506276,0.05707762557077625,1.0493501931858096,0.0012298454158715666,1.0028468092435188
frozenset({'男'}),frozenset({'122650008'}),0.5146443514644351,0.05439330543933055,0.027196652719665274,0.05284552845528456,0.9715447154471546,-0.0007965546821659258,0.9983658663601919
frozenset({'50014815'}),frozenset({'未知'}),0.20292887029288703,0.027196652719665274,0.010460251046025104,0.05154639175257732,1.8953211736716888,0.0049412650338754565,1.0256730944151355
frozenset({'28'}),frozenset({'未知'}),0.20292887029288703,0.027196652719665274,0.010460251046025104,0.05154639175257732,1.8953211736716888,0.0049412650338754565,1.0256730944151355
frozenset({'男'}),frozenset({'38'}),0.5146443514644351,0.04811715481171548,0.02510460251046025,0.04878048780487805,1.0137857900318135,0.00034138057807111405,1.000697350069735
frozenset({'女'}),frozenset({'38'}),0.4581589958158996,0.04811715481171548,0.021966527196652718,0.04794520547945205,0.9964264443120905,-7.878013340102685e-05,0.9998193913488456
